official_title,study_first_posted_date,verification_date,start_date,start_month_year,nct_id,phase,last_known_status,study_type,enrollment,overall_status,facilitiesCount,multisite,funding,fundingComb,intervention_comb,interventionType,interventionTypeCombined,were_results_reported,pubCount,pubCountBool,diverse,diverseGroup,yearStart,numMissing,interventionDrugNonDrug,industryNonIndustry,raceSpecific
Health Promotion for HIV Positives: A Randomized Trial With HIV Positive Black Men,10/8/2015,2/28/2019,1/8/2015,8-Jan-15,NCT02572414,Not Applicable,NA,Interventional,302,Completed,1,FALSE,NIH,Public,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,African American,Race-specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Stand & Move at Work: A Group Randomized Trial,10/2/2015,10/31/2019,1/15/2016,15-Jan-16,NCT02566317,Not Applicable,NA,Interventional,630,Completed,2,TRUE,Other,Other,"Device, Behavioral",Behavioral,Behavioral,TRUE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Effects of Cranberry Juice on Cardiovascular Risk Factors in a Placebo-controlled Crossover Trial,9/22/2015,12/31/2019,10/31/2015,Oct-15,NCT02556749,Not Applicable,NA,Interventional,47,Completed,1,FALSE,Industry,Industry,"Dietary Supplement, Dietary Supplement",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Aqua Therapy to Lower Adverse and Negative Effects of Deep Vein ThrombosIs and Post Thrombotic Syndrome,9/18/2015,9/30/2015,9/30/2015,Sep-15,NCT02553720,Not Applicable,Recruiting,Interventional,100,Unknown status,1,FALSE,Other,Other,"Other, Other",other,other,FALSE,4,TRUE,Non-race specific,Non-race specific,2015,0,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Carbidopa in Familial Dysautonomia: Phase-II Study, Investigational New Drug (IND) 117435, Date: 01/07/13",9/17/2015,9/30/2019,9/30/2015,Sep-15,NCT02553265,Phase 2,NA,Interventional,14,Completed,2,TRUE,Other,Other,"Drug, Other, Drug",Drug,Pharmaceutical,FALSE,6,TRUE,Non-race specific,Non-race specific,2015,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Improving Physical Activity Behavior in Patients With High Cardio-metabolic Risk Using a Multi-modal mHealth Intervention: a 2-arm Randomized Controlled Trial,9/16/2015,8/31/2018,9/30/2015,Sep-15,NCT02551640,Not Applicable,NA,Interventional,300,"Active, not recruiting",2,TRUE,Industry,Industry,Other,other,other,FALSE,2,TRUE,Non-race specific,Non-race specific,2015,1,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Heat & Aerobic Training (HEAT) for Pre-Hypertensive Middle-Aged Adults,9/11/2015,4/30/2019,8/21/2015,21-Aug-15,NCT02546726,Not Applicable,NA,Interventional,41,Completed,1,FALSE,Other,Other,"Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Nitrite Modulation of Hypertension, Platelet Activation, and Endothelial and Mitochondrial Function",8/7/2015,12/31/2019,3/31/2020,Mar-20,NCT02517697,Phase 2,NA,Interventional,40,Not yet recruiting,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Impact of Enhanced External Counterpulsation (EECP) on VO2 MAX,8/7/2015,3/31/2018,1/31/2015,Jan-15,NCT02517671,Not Applicable,NA,Interventional,0,Withdrawn,1,FALSE,U.S. Fed,Public,Device,Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Operative Procedures vs. Endovascular Neurosurgery for Untreated Pseudotumor Trial (OPEN-UP),8/3/2015,10/31/2019,1/31/2020,Jan-20,NCT02513914,Not Applicable,NA,Interventional,98,Not yet recruiting,1,FALSE,Other,Other,"Device, Device",Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Effectiveness of Vitamin D Supplementation on Reducing Blood Pressure and Improving Endothelial Function of Pre-menopausal African American Women,8/3/2015,10/31/2019,12/1/2015,1-Dec-15,NCT02513823,Not Applicable,NA,Interventional,27,Terminated,1,FALSE,Other,Other,Dietary Supplement,other,other,TRUE,NA,FALSE,African American,Race-specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
The Study of a Tele-pharmacy Intervention for Chronic Diseases to Improve Treatment Adherence (STIC2IT),7/30/2015,3/31/2019,8/31/2015,Aug-15,NCT02512276,Not Applicable,NA,Interventional,4078,Completed,1,FALSE,Other,Other,Behavioral,Behavioral,Behavioral,TRUE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Surrogate Markers of Portal Pressure and Changes in Portal Pressure in Patients With Compensated Cirrhosis Undergoing Anti-viral Therapy,7/24/2015,11/30/2019,4/30/2014,Apr-14,NCT02508298,Not Applicable,NA,Interventional,41,Completed,2,TRUE,U.S. Fed,Public,"Procedure, Drug, Device, Device",Procedure,Procedure,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Pragmatic Trial of Behavioral Interventions for Insomnia in Hypertensive Patients,7/24/2015,8/31/2019,8/31/2015,Aug-15,NCT02508129,Not Applicable,NA,Interventional,542,"Active, not recruiting",1,FALSE,NIH,Public,"Behavioral, Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
American Heart Association Strategically Focused Research Network: mHealth Intervention to Preserve and Promote Ideal Cardiovascular Health,7/14/2015,5/31/2019,5/31/2015,May-15,NCT02496728,Not Applicable,NA,Interventional,302,Completed,1,FALSE,Other,Other,"Behavioral, Behavioral, Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Noninvasive Subharmonic Aided Pressure Estimation of Portal Hypertension,7/2/2015,9/30/2019,4/6/2015,6-Apr-15,NCT02489045,Phase 4,NA,Interventional,178,Completed,2,TRUE,NIH,Public,Drug,Drug,Pharmaceutical,FALSE,1,TRUE,Non-race specific,Non-race specific,2015,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Fentanyl Effect on Blood Pressure in Elderly Patients After Induction of General Anesthesia,7/2/2015,6/30/2019,2/19/2018,19-Feb-18,NCT02489019,Phase 2/Phase 3,NA,Interventional,105,Recruiting,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,FALSE,5,TRUE,Non-race specific,Non-race specific,2015,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
A Prospective Randomized Controlled Trial to Determine Return on Investment in a Tablet/Smartphone-based Heart Failure Remote Monitoring Program,6/18/2015,3/31/2016,6/30/2015,Jun-15,NCT02475577,Not Applicable,Recruiting,Interventional,163,Unknown status,1,FALSE,Industry,Industry,Device,Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,1,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Health Evaluation in African Americans Using RAS Therapy,6/15/2015,5/31/2019,4/30/2015,Apr-15,NCT02471833,Phase 1,NA,Interventional,66,Recruiting,1,FALSE,Other,Other,"Drug, Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,African American,Race-specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Group-based Chronic Kidney Disease Care,6/10/2015,3/31/2019,8/31/2014,Aug-14,NCT02467894,Not Applicable,NA,Interventional,60,Completed,1,FALSE,Other,Other,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Macronutrient Effects on Alzheimer's Disease: HTN and IR (Hypertension and Insulin Resistance) (MEAL-2),6/4/2015,8/31/2018,3/31/2013,Mar-13,NCT02463084,Not Applicable,NA,Interventional,60,Completed,1,FALSE,Other,Other,"Other, Other",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"A Multicenter, Randomized, Placebo-controlled, Double-blind, Parallel-group, Phase 2 Clinical Trial to Evaluation the Safety and Efficacy of GR-MD-02 for the Treatment of Liver Fibrosis and Resultant Portal Hypertension in Patients With Nash Cirrhosis",6/4/2015,2/28/2018,6/30/2015,Jun-15,NCT02462967,Phase 2,NA,Interventional,162,Completed,46,TRUE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Promoting Self-Management in Low Income African Americans Living With Hypertension,5/29/2015,5/31/2016,7/31/2014,Jul-14,NCT02457871,Not Applicable,NA,Interventional,59,Completed,1,FALSE,Other,Other,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,African American,Race-specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Improving Adherence and Outcomes by Artificial Intelligence-Adapted Text Messages,5/27/2015,3/31/2017,5/31/2015,May-15,NCT02454660,Not Applicable,NA,Interventional,49,Completed,2,TRUE,U.S. Fed,Public,Behavioral,Behavioral,Behavioral,FALSE,12,TRUE,Non-race specific,Non-race specific,2015,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Prospective Safety and Tolerability Assessment of a Cardiovascular Health Dietary Supplement,5/25/2015,3/31/2018,5/1/2015,1-May-15,NCT02452749,Not Applicable,NA,Interventional,30,Completed,1,FALSE,Other,Other,Dietary Supplement,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
The Effects of Nicotine Chewing Gum on Acute Low Blood Pressure in Parkinson's Disease,5/22/2015,7/31/2017,5/31/2015,May-15,NCT02452125,Not Applicable,NA,Interventional,10,Completed,1,FALSE,Other,Other,Dietary Supplement,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Reducing Socioeconomic Disparities in Health at Pediatric Visits,5/21/2015,7/31/2019,9/30/2015,Sep-15,NCT02451059,Not Applicable,NA,Interventional,1205,"Active, not recruiting",6,TRUE,NIH,Public,"Behavioral, Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Furosemide for Prevention of Severe Postpartum Hypertension: a Randomized Controlled Trial,5/21/2015,10/31/2019,8/31/2015,Aug-15,NCT02450773,Phase 2,NA,Interventional,248,Recruiting,2,TRUE,Other,Other,"Drug, Drug, Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
NA,5/21/2015,4/30/2019,11/30/2015,Nov-15,NCT02450760,Not Applicable,NA,Interventional,36,"Active, not recruiting",1,FALSE,Other,Other,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,3,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Effect of Cocoa Flavanol Intake on Blood Pressure and Platelet Function in Healthy Adults, Part 2",5/19/2015,5/31/2017,6/30/2012,Jun-12,NCT02447783,Not Applicable,NA,Interventional,75,Completed,1,FALSE,Other,Other,"Dietary Supplement, Dietary Supplement",other,other,FALSE,1,TRUE,Non-race specific,Non-race specific,2015,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Effect of Long Term Cocoa Flavanol Intake on Blood Pressure and Platelet Function in Healthy Adults, Part 1",5/19/2015,5/31/2017,5/31/2012,May-12,NCT02447770,Not Applicable,NA,Interventional,37,Completed,1,FALSE,Other,Other,Dietary Supplement,other,other,FALSE,1,TRUE,Non-race specific,Non-race specific,2015,1,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Comparing the Effects of an Immunosuppressant (Mycophenolate Mofetil or MMF) on the Urinary Sodium Excretion Response to Mental Stress in a Crossover Design (MMF),5/4/2015,6/30/2019,4/22/2014,22-Apr-14,NCT02432339,Phase 1/Phase 2,NA,Interventional,50,Recruiting,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Effectiveness of Prazosin on the Urinary Sodium Excretion Response to Mental Stress in a Randomized Double Blind Placebo Controlled Design,5/1/2015,6/30/2019,4/30/2015,Apr-15,NCT02431936,Phase 2,NA,Interventional,50,Completed,1,FALSE,Other,Other,"Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,African American,Race-specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Acid-Base Compensation in Chronic Kidney Disease: Measurement and Physiologic Impact,4/28/2015,4/30/2017,4/30/2015,Apr-15,NCT02427594,Phase 1,NA,Interventional,14,Completed,1,FALSE,NIH,Public,"Drug, Other",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Effects of Gabapentin Enacarbil on Intensity of Cortical Arousal, Heart Rate, Blood Pressure and Anterior Tibialis EMG Responses Associated With PLMs During Sleep in Patients With RLS Using a Novel Computer Assisted Scoring System",4/23/2015,4/30/2015,6/30/2015,Jun-15,NCT02424695,Phase 4,Not yet recruiting,Interventional,20,Unknown status,1,FALSE,Industry,Industry,"Drug, Drug",Drug,Pharmaceutical,FALSE,5,TRUE,Non-race specific,Non-race specific,2015,0,Drug Intervention,Industry Sponsor,Non-Race Specific
Additive Effect of Twice Daily Brinzolamide 1%/Brimonidine 0.2% Fixed Dose Combination as an Adjunctive Therapy to a Prostaglandin Analogue,4/17/2015,11/30/2018,8/7/2015,7-Aug-15,NCT02419508,Phase 4,NA,Interventional,290,Completed,1,FALSE,Industry,Industry,"Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Drug Intervention,Industry Sponsor,Non-Race Specific
Worksite Screening for Cardiovascular Risk Factors Among Migrant Agricultural Workers,4/16/2015,11/30/2016,4/30/2015,Apr-15,NCT02418637,Not Applicable,NA,Interventional,40,Completed,1,FALSE,Other,Other,Other,other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
STOP-DKD Automated Population Program (APP),4/16/2015,11/30/2016,3/31/2015,Mar-15,NCT02418091,Not Applicable,NA,Interventional,131,Completed,1,FALSE,NIH,Public,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Series of N-of-1 Crossover Trials of Antihypertensive Therapy in Adolescents With Essential Hypertension,4/9/2015,11/30/2018,6/30/2013,Jun-13,NCT02412761,Not Applicable,NA,Interventional,42,Completed,1,FALSE,Other,Other,"Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,1,TRUE,Non-race specific,Non-race specific,2015,1,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Placental Role in Mediating Adverse Outcomes in Obstructive Sleep Apnea,4/9/2015,8/31/2018,6/30/2015,Jun-15,NCT02412696,Not Applicable,NA,Interventional,262,Recruiting,1,FALSE,Other,Other,"Device, Other",Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Fresh Start Experiment,4/8/2015,5/31/2017,4/30/2015,Apr-15,NCT02411032,Not Applicable,NA,Interventional,13323,Completed,1,FALSE,Other,Other,"Behavioral, Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Prediction and Pre-commitment Mailings for Medication Adherence,4/8/2015,9/30/2016,11/30/2014,Nov-14,NCT02411006,Not Applicable,NA,Interventional,47088,Completed,1,FALSE,Other,Other,"Behavioral, Behavioral, Behavioral, Behavioral, Behavioral",Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"Free Fatty Acids-Induced Hypertension, Endothelial Dysfunction, Inflammation, Insulin Resistance, and Autonomic Dysfunction in Lean and Obese Subjects (Aim #2)",4/2/2015,12/31/2018,7/31/2009,Jul-09,NCT02406586,Not Applicable,NA,Interventional,36,Completed,1,FALSE,Other,Other,"Drug, Drug, Drug, Drug",Drug,Pharmaceutical,TRUE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Non-invasive Cardiac Output Monitoring in Patients With Burn Injuries,3/31/2015,2/28/2018,1/31/2018,Jan-18,NCT02404597,Not Applicable,NA,Interventional,0,Withdrawn,1,FALSE,Other,Other,Device,Device,Device,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
"An Evaluation of the Heart Rate, Blood Pressure and Repolarization Effects of an Energy Drink as Compared to Coffee",3/30/2015,10/31/2016,3/31/2014,Mar-14,NCT02401776,Not Applicable,NA,Interventional,30,Completed,1,FALSE,Other,Other,"Dietary Supplement, Dietary Supplement, Dietary Supplement, Dietary Supplement",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Destiffening and Hypotensive Effects of Whole Milk and Full-fat Dairy Products,3/25/2015,1/31/2018,3/31/2015,Mar-15,NCT02397902,Not Applicable,NA,Interventional,60,Completed,1,FALSE,Industry,Industry,"Dietary Supplement, Dietary Supplement",other,other,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Industry Sponsor,Non-Race Specific
Respiratory Motor Control and Blood Pressure Regulation After Spinal Cord Injury,3/24/2015,4/30/2019,6/30/2016,Jun-16,NCT02396823,Not Applicable,NA,Interventional,60,"Active, not recruiting",1,FALSE,NIH,Public,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Stop Retinal Ganglion Cell Dysfunction Study,3/17/2015,12/31/2019,9/30/2015,Sep-15,NCT02390284,Phase 3,NA,Interventional,500,Recruiting,1,FALSE,NIH,Public,"Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug",Drug,Pharmaceutical,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
NA,3/12/2015,12/31/2018,2/6/2015,6-Feb-15,NCT02386540,Not Applicable,NA,Interventional,295,Completed,1,FALSE,Other,Other,Behavioral,Behavioral,Behavioral,FALSE,NA,FALSE,Non-race specific,Non-race specific,2015,3,Non-Drug Intervention,Non-Industry Sponsor,Non-Race Specific
Effectiveness of Avapro in the Treatment of Salt Sensitivity in Both Normotensive and Untreated Hypertensive Obese African Americans: A Randomized Double Blind Placebo Controlled Trial,3/11/2015,6/30/2019,4/30/2014,Apr-14,NCT02386293,Phase 2,NA,Interventional,30,Recruiting,1,FALSE,Other,Other,"Drug, Other",Drug,Pharmaceutical,FALSE,NA,FALSE,African American,Race-specific,2015,2,Drug Intervention,Non-Industry Sponsor,Non-Race Specific
